"Source","Destination","Hash","Size"
"C:\panda-gallery\originals\1\b89b911b1c394a9dbaf73475c64a45c8.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\b89b911b1c394a9dbaf73475c64a45c8.jpg","962F8741E946ABF2087FCA8FD0131D1EE625C96AA9D9C77D19E8537C19B6DC52","17282"
"C:\panda-gallery\originals\1\5502027b036f4fcc93c1b13dc54a983b.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\5502027b036f4fcc93c1b13dc54a983b.jpg","BB8216EFFC0EB85A59E85CE86FF651CBBD480DE8617529BB3C83C353F5C35148","19136"
"C:\panda-gallery\originals\2\d9436e70666d4f63a5cd26dfc91489fc.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\d9436e70666d4f63a5cd26dfc91489fc.jpg","0F8EB9E130208E3B37FB4E4204CFE12941FC3FF25D2C60FDDCBD70A49800905C","18302"
"C:\panda-gallery\originals\2\e87d94f300984ad2aac94627c43cb7c3.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\e87d94f300984ad2aac94627c43cb7c3.jpg","9C5C12B1274475D988C775B3D45669D3E0251DD4C730173E7725A916F74EAFAD","23610"
"C:\panda-gallery\originals\2\b7820066fd7045f8bea02a65d9d18b5a.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\b7820066fd7045f8bea02a65d9d18b5a.jpg","D6D3D4D8CBE4C3AB83DA9DA35F9BCC19B33249964E1D39E4C16CC643F018D1B3","25873"
"C:\panda-gallery\originals\2\91d5211a00c14647ad8a996889237fa1.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\91d5211a00c14647ad8a996889237fa1.jpg","73BF7847EEBC296E02861EDCDAC0757DEA1BFDB6A4F902424936261D89EE8CD9","16573"
"C:\panda-gallery\originals\2\fa50f92c36bf40ec866c6d21165541ed.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\fa50f92c36bf40ec866c6d21165541ed.jpg","923873FC1424B9C6134AFD5DC50DD451BBB84B5E660CD8AE8297FB6AD4613966","26755"
"C:\panda-gallery\originals\1\faea310eea2a4ccbad5d377ffd1f0e32.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\faea310eea2a4ccbad5d377ffd1f0e32.jpg","5E4865FD55DC237FF90832BAA5A154A1634A1E35761599E1D4FE5A6332BD3A48","26820"
"C:\panda-gallery\originals\1\c1a16a83fc4e4a879ab72615081e7cb7.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\c1a16a83fc4e4a879ab72615081e7cb7.jpg","46BA23E4471CB4DDC15C33F34C24DBE9A63B8DC9914961508C7D5E62F52D41A7","28607"
"C:\panda-gallery\originals\2\939005a746424f4885c96767f271c607.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\939005a746424f4885c96767f271c607.jpg","3C9372EA35F52F3CBD8FFF750BE6809C4655FADB9B797D7EF83373349D17D67C","16645"
"C:\panda-gallery\originals\1\bb4be2c936a04436bd8e02b0e5e8d3fc.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\bb4be2c936a04436bd8e02b0e5e8d3fc.jpg","472BF01A47E4B4FAA78A0CABC3D6A30495090D2F09AF5C1B57B2D648C59154B1","30021"
"C:\panda-gallery\originals\1\b1e17e4c100541cb828aa56b8a1c9d8f.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\1\b1e17e4c100541cb828aa56b8a1c9d8f.jpg","D1F86D16EA88915B21BFA4957DFE512CAC614BC5BF905BD6633037DC4F0E0B3F","28765"
"C:\panda-gallery\originals\2\85d868a120cd45b0b202370e08aff14a.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\85d868a120cd45b0b202370e08aff14a.jpg","602B0AB18163B0F9EA58BA95C64ED05590BF7889C7BE12EDE49D05945997DA68","26722"
"C:\panda-gallery\originals\2\fa135dc13b5a49948a5e68260fe92ed0.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\fa135dc13b5a49948a5e68260fe92ed0.jpg","908DE4277AF46C8EC767922E632CF2882CBF071C875BA8B134CD3A279A3A76F8","17952"
"C:\panda-gallery\originals\2\e42a0c19b9204c04916edc81b9a71d01.jpg","C:\CODEX PG\CODEX Duplicate Image Cleanup\20260510_originals\quarantine\2\e42a0c19b9204c04916edc81b9a71d01.jpg","0033667B5802B76C4D1B3E190F19AB5828BBAB19EB8130B4CF6C6E46C49C853D","26556"
